Ticker,"Company Name","Annual Div","Div Yield"
MIC,"Macquarie Infrastructure ","4.00","9.6"
M,"Macy's","1.51","5.8"
MMP,"Magellan Midstream Partners","3.99","6.4"
MGIC,"Magic Software Enterprises Ltd","0.29","3.3"
MGA,"Magna International ","1.32","2.5"
MAIN,"Main Street Capital","2.40","6.4"
MN,"Manning and Napier","0.08","3.6"
MFC,"Manulife Financial ","0.76","4.3"
MPC,"Marathon Petroleum Corp","2.12","3.5"
MRLN,"Marlin Business Services","0.56","2.6"
MMLP,"Martin Midstream Partners","2.00","16.3"
MAXR,"Maxar Technologies","1.11","23.9"
MXIM,"Maxim Integrated Products","1.84","3.2"
MBTF,"MBT Financial","0.40","3.9"
MCD,"Mcdonald's Corp","4.64","2.4"
MGRC,"McGrath RentCorp","1.50","2.6"
MDU,"Mdu Resources Group","0.81","3.1"
MPW,"Medical Properties Trust","1.00","5.4"
MCC,"Medley Capital ","0.40","12.6"
MDLY,"Medley Management","0.12","3.5"
MBWM,"Mercantile Bank","1.04","3.2"
MERC,"Mercer International","0.50","3.5"
MRK,"Merck & Co.","2.20","2.7"
MCY,"Mercury General","2.51","5.0"
VIVO,"Meridian Bioscience","0.50","3.7"
MET,Metlife,"1.68","3.8"
MFA,"MFA Financial","0.80","10.9"
MGP,"MGM Growth Properties LLC","1.86","5.7"
MAA,"Mid-America Apartment Communities","3.84","3.5"
MBCN,"Middlefield Banc Corp","1.12","2.7"
MOFG,"MidWestOne Financial Group","0.81","2.8"
MBT,"Mobil'nye Telesistemy PAO ","0.82","10.2"
MC,"Moelis & Co","1.88","4.5"
TAP,"Molson Coors Brewing Co","1.64","2.7"
MNR,"Monmouth R.E. Inv.","0.68","5.0"
MRCC,"Monroe Capital ","1.40","11.3"
MS,"Morgan Stanley","1.20","2.7"
MPLX,"MPLX LP","2.59","7.9"
MSM,"MSC Industrial Direct Co","2.52","3.0"
MUR,"Murphy Oil","1.00","3.6"
MFSF,"MutualFirst Financial","0.80","2.7"
MVC,"MVC Capital","0.60","6.6"
MYE,"Myers Industries","0.54","3.1"
NKSH,"National Bankshares","1.26","3.2"
NCMI,"National CineMedia","0.68","9.2"
NFG,"National Fuel Gas Co.","1.70","2.8"
NHI,"National Health Investors","4.20","5.4"
NNN,"National Retail Properties","2.00","3.7"
NSA,"National Storage Affiliates Trust","1.20","4.2"
NAVI,"Navient Corp","0.64","5.2"
NBTB,"NBT Bancorp","1.04","2.8"
NP,Neenah,"1.64","2.5"
NEWM,"New Media Investment  ","1.52","14.0"
NMFC,"New Mountain Finance","1.36","10.0"
NRZ,"New Residential Investment ","2.00","12.0"
NYCB,"New York Community Bancorp","0.68","5.8"
NYMT,"New York Mortgage Trust","0.80","13.1"
NMRK,"Newmark Group","0.36","4.3"
NEWT,"NEWTEK Business Services Corp","1.60","7.7"
NEXA,"Nexa Resources SA","0.53","4.2"
NEE,"NextEra Energy","5.00","2.7"
NEP,"Nextera Energy Partners LP","1.86","3.9"
NGL,"NGL Energy Partners LP","1.56","11.0"
NI,NiSource,"0.80","2.9"
NBLX,"Noble Midstream Partners LP","2.34","6.3"
JWN,Nordstrom,"1.48","3.3"
NFBK,"Northfield Bancorp","0.40","2.8"
NRIM,"Northrim BanCorp","1.20","3.5"
NRE,"Northstar Realty Europe Corp","0.60","3.4"
NWBI,"Northwest Bancshares","0.72","4.2"
NWN,"Northwest Natural Holding Co","1.90","2.9"
NWE,"NorthWestern Corp","2.30","3.3"
NUS,"Nu Skin Enterprises","1.46","2.9"
NUE,Nucor,"1.60","2.6"
NS,"NuStar Energy","2.40","8.8"
NVT,"nVent Electric PLC","0.70","2.5"
OAK,"Oaktree Capital Group LLC","2.97","5.9"
OCSL,"Oaktree Specialty Lending Corp","0.38","7.3"
OCSI,"Oaktree Strategic Income  ","0.62","7.6"
OMP,"Oasis Midstream Partners LP","1.80","9.0"
OXY,"Occidental Petroleum","3.12","4.7"
